year,rosh,pesah
1980,11/09/1980,01/04/1980
1981,29/09/1981,19/04/1981
1982,18/09/1982,08/04/1982
1983,08/09/1983,29/03/1983
1984,27/09/1984,15/04/1984
1985,16/09/1985,06/04/1985
1986,04/10/1986,24/04/1986
1987,24/09/1987,14/04/1987
1988,12/09/1988,02/04/1988
1989,30/09/1989,20/04/1989
1990,20/09/1990,10/04/1990
1991,09/09/1991,30/03/1991
1992,28/09/1992,18/04/1992
1993,16/09/1993,06/04/1993
1994,06/09/1994,27/03/1994
1995,25/09/1995,15/04/1995
1996,14/09/1996,04/04/1996
1997,02/10/1997,22/04/1997
1998,21/09/1998,11/04/1998
1999,11/09/1999,01/04/1999
2000,30/09/2000,20/04/2000
2001,18/09/2001,08/04/2001
2002,07/09/2002,28/03/2002
2003,27/09/2003,17/04/2003
2004,16/09/2004,06/04/2004
2005,04/10/2005,24/04/2005
2006,23/09/2006,13/04/2006
2007,13/09/2007,03/04/2007
2008,30/09/2008,20/04/2008
2009,19/09/2009,09/04/2009
2010,09/09/2010,30/03/2010
2011,29/09/2011,19/04/2011
2012,17/09/2012,07/04/2012
2013,05/09/2013,26/03/2013
2014,25/09/2014,15/04/2014
2015,14/09/2015,04/04/2015
2016,03/10/2016,23/04/2016
2017,21/09/2017,11/04/2017
2018,10/09/2018,31/03/2018
2019,30/09/2019,20/04/2019
2020,19/09/2020,09/04/2020
2021,07/09/2021,28/03/2021
2022,26/09/2022,16/04/2022
2023,16/09/2023,06/04/2023
2024,03/10/2024,23/04/2024
2025,23/09/2025,13/04/2025
2026,12/09/2026,02/04/2026
2027,02/10/2027,22/04/2027
2028,21/09/2028,11/04/2028
2029,10/09/2029,31/03/2029
2030,28/09/2030,18/04/2030
