original item name,new item name,short description english,full description
CP000000_CPI_CPI_5_0_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_00,CPI_Vegetables_and_Fruits,"Vegetables and Fruits","Consumer Price Index - Vegetables and Fruits - Total"
CP000000_CPI_CPI_5_0_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_00_pct_change,CPI_Vegetables_and_Fruits_PCT_CHG,"Vegetables and Fruits","Consumer Price Index - Vegetables and Fruits - Total PCT_CHG"
CP010000_CPI_CPI_5_1_8_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_01,CPI_Food,Food,"Consumer Price Index - Food - Total"
CP010000_CPI_CPI_5_1_8_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_01_pct_change,CPI_Food_PCT_CHG,Food,"Consumer Price Index - Food - Total PCT_CHG"
CP020100_CPI_CPI_5_2_4_3_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_01,CPI_Housing_Rent,"Housing - Rent","Consumer Price Index - Housing - Rent - Total"
CP020100_CPI_CPI_5_2_4_3_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_01_pct_change,CPI_Housing_Rent_PCT_CHG,"Housing - Rent","Consumer Price Index - Housing - Rent - Total PCT_CHG"
CP020200_CPI_CPI_5_2_1_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_02,CPI_Housing_Owner_occupied_Dwellings,"Housing - Owner-occupied Dwellings","Consumer Price Index - Housing - Owner-occupied Dwellings"
CP020200_CPI_CPI_5_2_1_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_02_pct_change,CPI_Housing_Owner_occupied_Dwellings_PCT_CHG,"Housing - Owner-occupied Dwellings","Consumer Price Index - Housing - Owner-occupied Dwellings PCT_CHG"
CP020400_CPI_CPI_5_2_2_2_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_04,CPI_Housing_Other_Expenses,"Housing - Other Expenses","Consumer Price Index - Housing - Other Housing Expenses - Total"
CP020400_CPI_CPI_5_2_2_2_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_04_pct_change,CPI_Housing_Other_Expenses_PCT_CHG,"Housing - Other Expenses","Consumer Price Index - Housing - Other Housing Expenses - Total PCT_CHG"
CP030400_CPI_CPI_5_3_3_5_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_03_04,CPI_Housing_Maint_Elec_Fuel_Water,"Housing Maint. - Elec, Fuel, Water","Consumer Price Index - Housing Maintenance - Electricity, Fuel and Water for Household Consumption - Total"
CP030400_CPI_CPI_5_3_3_5_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_03_04_pct_change,CPI_Housing_Maint_Elec_Fuel_Water_PCT_CHG,"Housing Maint. - Elec, Fuel, Water","Consumer Price Index - Housing Maintenance - Electricity, Fuel and Water for Household Consumption - Total PCT_CHG"
CP040000_CPI_CPI_5_4_2_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_04,CPI_Furniture_and_Home_Equipment,"Furniture and Home Equipment","Consumer Price Index - Furniture and Home Equipment - Total"
CP040000_CPI_CPI_5_4_2_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_04_pct_change,CPI_Furniture_and_Home_Equipment_PCT_CHG,"Furniture and Home Equipment","Consumer Price Index - Furniture and Home Equipment - Total PCT_CHG"
CP050000_CPI_CPI_5_5_3CP050000_CPI_CPI_5_5_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_05_pct_change,CPI_Clothing_and_Footwear_PCT_CHG,"Clothing and Footwear","Consumer Price Index - Clothing and Footwear - Total PCT_CHG"
CP060000_CPI_CPI_5_6_2_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_06,CPI_Education_Culture_and_Entertainment,"Education, Culture and Entertainment","Consumer Price Index - Education, Culture and Entertainment - Total"
CP060000_CPI_CPI_5_6_2_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_06_pct_change,CPI_Education_Culture_and_Entertainment_PCT_CHG,"Education, Culture and Entertainment","Consumer Price Index - Education, Culture and Entertainment - Total PCT_CHG"
CP070000_CPI_CPI_5_7_1_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_07,CPI_Health,Health,"Consumer Price Index - Health - Total"
CP070000_CPI_CPI_5_7_1_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_07_pct_change,CPI_Health_PCT_CHG,Health,"Consumer Price Index - Health - Total PCT_CHG"
CP080000_CPI_CPI_5_8_1_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_08,CPI_Transportation_and_Communication,"Transportation and Communication","Consumer Price Index - Transportation and Communication - Total"
CP080000_CPI_CPI_5_8_1_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_08_pct_change,CPI_Transportation_and_Communication_PCT_CHG,"Transportation and Communication","Consumer Price Index - Transportation and Communication - Total PCT_CHG"
CPM0202_CPI_CPI_3_3_2_4_SUB_M_N__Z__Z_I22_L__Z_A__Z__Z_CP_03_04_03_01,CPI_Products_Oil,"Products - Oil","Consumer Price Index - Products - Oil"
CPM0202_CPI_CPI_3_3_2_4_SUB_M_N__Z__Z_I22_L__Z_A__Z__Z_CP_03_04_03_01_pct_change,CPI_Products_Oil_PCT_CHG,"Products - Oil","Consumer Price Index - Products - Oil PCT_CHG"
CPM1217_CPI_CPI_3_8_1_27_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_08_01_04_01,CPI_Products_Travel_Abroad,"Products - Travel Abroad","Consumer Price Index - Products - Travel Abroad"
CPM1217_CPI_CPI_3_8_1_27_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_08_01_04_01_pct_change,CPI_Products_Travel_Abroad_PCT_CHG,"Products - Travel Abroad","Consumer Price Index - Products - Travel Abroad PCT_CHG"
PT_EN_CPI_CPI_5_10_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z__Z,CPI_Energy,Energy,"Consumer Price Index - Energy"
PT_EN_CPI_CPI_5_10_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z__Z_pct_change,CPI_Energy_PCT_CHG,Energy,"Consumer Price Index - Energy PCT_CHG"
PT_EN_NO_GAS_ELEC_CPI_CPI_5_10_PART_M_N__Z__Z_I_JAN20_L__Z_A__Z__Z__Z,CPI_Energy_No_Gas_Elec,"Energy (No Gas Elec)","Consumer Price Index - Energy (No Gas & Electricity)"
PT_EN_NO_GAS_ELEC_CPI_CPI_5_10_PART_M_N__Z__Z_I_JAN20_L__Z_A__Z__Z__Z_pct_change,CPI_Energy_No_Gas_Elec_PCT_CHG,"Energy (No Gas Elec)","Consumer Price Index - Energy (No Gas & Electricity) PCT_CHG"
_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_05,CPI_Clothing_and_Footwear,"Clothing and Footwear","Consumer Price Index - Clothing and Footwear - Total"
